Comuna,Clasificacion,Nombre,Ubicacion,Has.x.comuna,Observaciones,Otros
4,Bajo Autopista,S/D,Hornos / Iriarte / California / Herrera,0.6562,NA,NA
4,Bajo Autopista,S/D,California / Hornos / Herrera / B. Q. Martin,0.6075,NA,NA
4,Bajo Autopista,Herrera,Hornos / Herrera / B Q Martin,0.471,NA,NA
4,Bajo Autopista,Plaza herrera bajo autopista,Hornos/ Herrera/ B. Q. Martín/ Araoz de Lamadrid,0.3207,NA,NA
4,Bajo Autopista,S/D,Herrera / Hornos / Suarez / Araoz de la Madrid,1.1444,NA,NA
4,Bajo Autopista,S/D,Herrera / Hornos / Suarez / Brandsen,0.9977,NA,NA
4,Plaza,Virrey Vertiz,Herrera / Hornos / Brandsen / Aristobulo del Valle ,1.1052,NA,NA
4,Bajo Autopista,S/D,Herrera / Hornos / Samperio / Aristobulo del valle,1.2316,NA,NA
4,Bajo Autopista,S/D,Herrera / Hornos / Samperio / Finocchieto (limite),3.4192,NA,NA
4,Boulevard,Caseros,Caseros entre Defensa y Bolivar,0.0799,NA,NA
4,Boulevard,Caseros,Caseros entre Bolivar y Peru,NA,NA,NA
4,Boulevard,Caseros,Caseros entre Peru y Chacabuco,NA,NA,NA
4,Boulevard,Caseros,Caseros entre Peru y Piedras ,NA,NA,NA
4,Boulevard,Caseros,Caseros entre Piedras y Tacuari,NA,NA,NA
4,Boulevard,Caseros,Caseros entre Tacuari y Montes de Oca,NA,NA,NA
4,Boulevard,Montes de Oca 1900-2100,"M de Oca, desde Osvaldo Cruz hasta Rio Cuarto",0.25,NA,NA
4,Boulevard,Montes de Oca 1800-1900,"M de Oca, desde Rio Cuarto hasta Iriarte ",NA,NA,NA
4,Boulevard,Montes de Oca 1751-1800,"M de Oca, desde Iriarte hasta Daniel Cerri ",NA,NA,NA
4,Boulevard,Montes de Oca 1701-1751,"M de Oca, desde Daniel Cerri hasta California",NA,NA,NA
4,Boulevard,Montes de Oca 1601-1700,"M de Oca, desde California hasta Salvadores",NA,NA,NA
